University,Topic,Question,Expected_Answer
Bhagwan Parshuram Institute of Technology,Facilities,Does Bhagwan Parshuram Institute of Technology have a hostel and what is the fee?,"Yes, Bhagwan Parshuram Institute of Technology has a hostel for both boys and girls. The fee is 72801 and the mess fee is 37638."
Bhagwan Parshuram Institute of Technology,Facilities,What are the library timings for Bhagwan Parshuram Institute of Technology?,The library timings for Bhagwan Parshuram Institute of Technology are 8:00 AM to 8:00 PM.
Bhagwan Parshuram Institute of Technology,Academics,What is the attendance rule at Bhagwan Parshuram Institute of Technology?,The attendance rule at Bhagwan Parshuram Institute of Technology is Minimum 75% attendance mandatory.
University of Petroleum and Energy Studies,Fees,What is the tuition fee for University of Petroleum and Energy Studies?,The tuition fee for University of Petroleum and Energy Studies is 101337 per semester.
University of Petroleum and Energy Studies,Placements,What is the highest placement package at University of Petroleum and Energy Studies?,The highest placement package at University of Petroleum and Energy Studies is 32.9 Lakh Per Annum.
University of Petroleum and Energy Studies,Facilities,Does University of Petroleum and Energy Studies have a hostel and what is the fee?,"Yes, University of Petroleum and Energy Studies has a hostel for both boys and girls. The fee is 74855 and the mess fee is 28246."
University of Petroleum and Energy Studies,Facilities,What are the library timings for University of Petroleum and Energy Studies?,The library timings for University of Petroleum and Energy Studies are 8:00 AM to 8:00 PM.
University of Petroleum and Energy Studies,Academics,What is the attendance rule at University of Petroleum and Energy Studies?,The attendance rule at University of Petroleum and Energy Studies is Minimum 75% attendance mandatory.
Ashoka University,Fees,What is the tuition fee for Ashoka University?,The tuition fee for Ashoka University is 77382 per semester.
Ashoka University,Placements,What is the highest placement package at Ashoka University?,The highest placement package at Ashoka University is 43.2 Lakh Per Annum.
Ashoka University,Facilities,Does Ashoka University have a hostel and what is the fee?,"Yes, Ashoka University has a hostel for both boys and girls. The fee is 54550 and the mess fee is 27990."
Ashoka University,Facilities,What are the library timings for Ashoka University?,The library timings for Ashoka University are 8:00 AM to 8:00 PM.
Ashoka University,Academics,What is the attendance rule at Ashoka University?,The attendance rule at Ashoka University is Minimum 75% attendance mandatory.
Indian Institute of Information Technology Sri City,Fees,What is the tuition fee for Indian Institute of Information Technology Sri City?,The tuition fee for Indian Institute of Information Technology Sri City is 91407 per semester.
Indian Institute of Information Technology Sri City,Placements,What is the highest placement package at Indian Institute of Information Technology Sri City?,The highest placement package at Indian Institute of Information Technology Sri City is 37.4 Lakh Per Annum.
Indian Institute of Information Technology Sri City,Facilities,Does Indian Institute of Information Technology Sri City have a hostel and what is the fee?,"Yes, Indian Institute of Information Technology Sri City has a hostel for both boys and girls. The fee is 81534 and the mess fee is 27143."
Indian Institute of Information Technology Sri City,Facilities,What are the library timings for Indian Institute of Information Technology Sri City?,The library timings for Indian Institute of Information Technology Sri City are 8:00 AM to 8:00 PM.
Indian Institute of Information Technology Sri City,Academics,What is the attendance rule at Indian Institute of Information Technology Sri City?,The attendance rule at Indian Institute of Information Technology Sri City is Minimum 75% attendance mandatory.
DAV Institute of Engineering & Technology,Fees,What is the tuition fee for DAV Institute of Engineering & Technology?,The tuition fee for DAV Institute of Engineering & Technology is 56639 per semester.
DAV Institute of Engineering & Technology,Placements,What is the highest placement package at DAV Institute of Engineering & Technology?,The highest placement package at DAV Institute of Engineering & Technology is 0 Lakh Per Annum.
DAV Institute of Engineering & Technology,Facilities,Does DAV Institute of Engineering & Technology have a hostel and what is the fee?,"Yes, DAV Institute of Engineering & Technology has a hostel for both boys and girls. The fee is 2025 and the mess fee is 43057."
DAV Institute of Engineering & Technology,Facilities,What are the library timings for DAV Institute of Engineering & Technology?,The library timings for DAV Institute of Engineering & Technology are 8:00 AM to 8:00 PM.
DAV Institute of Engineering & Technology,Academics,What is the attendance rule at DAV Institute of Engineering & Technology?,The attendance rule at DAV Institute of Engineering & Technology is Minimum 75% attendance mandatory.
Lovely Professional University,Fees,What is the tuition fee for Lovely Professional University?,The tuition fee for Lovely Professional University is 59602 per semester.
Lovely Professional University,Placements,What is the highest placement package at Lovely Professional University?,The highest placement package at Lovely Professional University is 25.0 Lakh Per Annum.
Lovely Professional University,Facilities,Does Lovely Professional University have a hostel and what is the fee?,"Yes, Lovely Professional University has a hostel for both boys and girls. The fee is 55810 and the mess fee is 44886."
Lovely Professional University,Facilities,What are the library timings for Lovely Professional University?,The library timings for Lovely Professional University are 8:00 AM to 8:00 PM.
Lovely Professional University,Academics,What is the attendance rule at Lovely Professional University?,The attendance rule at Lovely Professional University is Minimum 75% attendance mandatory.
Somaiya Vidyavihar,Fees,What is the tuition fee for Somaiya Vidyavihar?,The tuition fee for Somaiya Vidyavihar is 42800 per semester.
Somaiya Vidyavihar,Placements,What is the highest placement package at Somaiya Vidyavihar?,The highest placement package at Somaiya Vidyavihar is 36.0 Lakh Per Annum.
Somaiya Vidyavihar,Facilities,Does Somaiya Vidyavihar have a hostel and what is the fee?,"Yes, Somaiya Vidyavihar has a hostel for both boys and girls. The fee is 68505 and the mess fee is 35444."
Somaiya Vidyavihar,Facilities,What are the library timings for Somaiya Vidyavihar?,The library timings for Somaiya Vidyavihar are 8:00 AM to 8:00 PM.
Somaiya Vidyavihar,Academics,What is the attendance rule at Somaiya Vidyavihar?,The attendance rule at Somaiya Vidyavihar is Minimum 75% attendance mandatory.
NorthCap University,Fees,What is the tuition fee for NorthCap University?,The tuition fee for NorthCap University is 2026 per semester.
NorthCap University,Placements,What is the highest placement package at NorthCap University?,The highest placement package at NorthCap University is 24.9 Lakh Per Annum.
NorthCap University,Facilities,Does NorthCap University have a hostel and what is the fee?,"Yes, NorthCap University has a hostel for both boys and girls. The fee is 58557 and the mess fee is 25994."
NorthCap University,Facilities,What are the library timings for NorthCap University?,The library timings for NorthCap University are 8:00 AM to 8:00 PM.
NorthCap University,Academics,What is the attendance rule at NorthCap University?,The attendance rule at NorthCap University is Minimum 75% attendance mandatory.
Dharamsinh Desai University,Fees,What is the tuition fee for Dharamsinh Desai University?,The tuition fee for Dharamsinh Desai University is 117608 per semester.
Dharamsinh Desai University,Placements,What is the highest placement package at Dharamsinh Desai University?,The highest placement package at Dharamsinh Desai University is 36.1 Lakh Per Annum.
Dharamsinh Desai University,Facilities,Does Dharamsinh Desai University have a hostel and what is the fee?,"Yes, Dharamsinh Desai University has a hostel for both boys and girls. The fee is 82154 and the mess fee is 43652."
Dharamsinh Desai University,Facilities,What are the library timings for Dharamsinh Desai University?,The library timings for Dharamsinh Desai University are 8:00 AM to 8:00 PM.
Dharamsinh Desai University,Academics,What is the attendance rule at Dharamsinh Desai University?,The attendance rule at Dharamsinh Desai University is Minimum 75% attendance mandatory.
University of Health Sciences Andhra Pradesh,Fees,What is the tuition fee for University of Health Sciences Andhra Pradesh?,The tuition fee for University of Health Sciences Andhra Pradesh is 61577 per semester.
University of Health Sciences Andhra Pradesh,Placements,What is the highest placement package at University of Health Sciences Andhra Pradesh?,The highest placement package at University of Health Sciences Andhra Pradesh is 32.6 Lakh Per Annum.
University of Health Sciences Andhra Pradesh,Facilities,Does University of Health Sciences Andhra Pradesh have a hostel and what is the fee?,"Yes, University of Health Sciences Andhra Pradesh has a hostel for both boys and girls. The fee is 54976 and the mess fee is 25341."
University of Health Sciences Andhra Pradesh,Facilities,What are the library timings for University of Health Sciences Andhra Pradesh?,The library timings for University of Health Sciences Andhra Pradesh are 8:00 AM to 8:00 PM.
University of Health Sciences Andhra Pradesh,Academics,What is the attendance rule at University of Health Sciences Andhra Pradesh?,The attendance rule at University of Health Sciences Andhra Pradesh is Minimum 75% attendance mandatory.
"Allahabad Agricultural Institute, Deemed University",Fees,"What is the tuition fee for Allahabad Agricultural Institute, Deemed University?","The tuition fee for Allahabad Agricultural Institute, Deemed University is 144181 per semester."
"Allahabad Agricultural Institute, Deemed University",Placements,"What is the highest placement package at Allahabad Agricultural Institute, Deemed University?","The highest placement package at Allahabad Agricultural Institute, Deemed University is 29.5 Lakh Per Annum."
"Allahabad Agricultural Institute, Deemed University",Facilities,"Does Allahabad Agricultural Institute, Deemed University have a hostel and what is the fee?","Yes, Allahabad Agricultural Institute, Deemed University has a hostel for both boys and girls. The fee is 46775 and the mess fee is 44897."
"Allahabad Agricultural Institute, Deemed University",Facilities,"What are the library timings for Allahabad Agricultural Institute, Deemed University?","The library timings for Allahabad Agricultural Institute, Deemed University are 8:00 AM to 8:00 PM."
"Allahabad Agricultural Institute, Deemed University",Academics,"What is the attendance rule at Allahabad Agricultural Institute, Deemed University?","The attendance rule at Allahabad Agricultural Institute, Deemed University is Minimum 75% attendance mandatory."
Assam Agricultural University,Fees,What is the tuition fee for Assam Agricultural University?,The tuition fee for Assam Agricultural University is 142893 per semester.
Assam Agricultural University,Placements,What is the highest placement package at Assam Agricultural University?,The highest placement package at Assam Agricultural University is 44.6 Lakh Per Annum.
Assam Agricultural University,Facilities,Does Assam Agricultural University have a hostel and what is the fee?,"Yes, Assam Agricultural University has a hostel for both boys and girls. The fee is 80289 and the mess fee is 32788."
Assam Agricultural University,Facilities,What are the library timings for Assam Agricultural University?,The library timings for Assam Agricultural University are 8:00 AM to 8:00 PM.
Assam Agricultural University,Academics,What is the attendance rule at Assam Agricultural University?,The attendance rule at Assam Agricultural University is Minimum 75% attendance mandatory.
Ahmedabad University,Fees,What is the tuition fee for Ahmedabad University?,The tuition fee for Ahmedabad University is 56545 per semester.
Ahmedabad University,Placements,What is the highest placement package at Ahmedabad University?,The highest placement package at Ahmedabad University is 28.1 Lakh Per Annum.
Ahmedabad University,Facilities,Does Ahmedabad University have a hostel and what is the fee?,"Yes, Ahmedabad University has a hostel for both boys and girls. The fee is 57524 and the mess fee is 29231."
Ahmedabad University,Facilities,What are the library timings for Ahmedabad University?,The library timings for Ahmedabad University are 8:00 AM to 8:00 PM.
Ahmedabad University,Academics,What is the attendance rule at Ahmedabad University?,The attendance rule at Ahmedabad University is Minimum 75% attendance mandatory.
All India Institute of Medical Sciences,Fees,What is the tuition fee for All India Institute of Medical Sciences?,The tuition fee for All India Institute of Medical Sciences is 149057 per semester.
All India Institute of Medical Sciences,Placements,What is the highest placement package at All India Institute of Medical Sciences?,The highest placement package at All India Institute of Medical Sciences is 33.6 Lakh Per Annum.
All India Institute of Medical Sciences,Facilities,Does All India Institute of Medical Sciences have a hostel and what is the fee?,"Yes, All India Institute of Medical Sciences has a hostel for both boys and girls. The fee is 70936 and the mess fee is 39856."
All India Institute of Medical Sciences,Facilities,What are the library timings for All India Institute of Medical Sciences?,The library timings for All India Institute of Medical Sciences are 8:00 AM to 8:00 PM.
All India Institute of Medical Sciences,Academics,What is the attendance rule at All India Institute of Medical Sciences?,The attendance rule at All India Institute of Medical Sciences is Minimum 75% attendance mandatory.
AISECT University,Fees,What is the tuition fee for AISECT University?,The tuition fee for AISECT University is 55856 per semester.
AISECT University,Placements,What is the highest placement package at AISECT University?,The highest placement package at AISECT University is 22.7 Lakh Per Annum.
AISECT University,Facilities,Does AISECT University have a hostel and what is the fee?,"Yes, AISECT University has a hostel for both boys and girls. The fee is 68248 and the mess fee is 35883."
AISECT University,Facilities,What are the library timings for AISECT University?,The library timings for AISECT University are 8:00 AM to 8:00 PM.
AISECT University,Academics,What is the attendance rule at AISECT University?,The attendance rule at AISECT University is Minimum 75% attendance mandatory.
Alagappa University,Fees,What is the tuition fee for Alagappa University?,The tuition fee for Alagappa University is 96926 per semester.
Alagappa University,Placements,What is the highest placement package at Alagappa University?,The highest placement package at Alagappa University is 37.6 Lakh Per Annum.
Alagappa University,Facilities,Does Alagappa University have a hostel and what is the fee?,"Yes, Alagappa University has a hostel for both boys and girls. The fee is 47086 and the mess fee is 44040."
Alagappa University,Facilities,What are the library timings for Alagappa University?,The library timings for Alagappa University are 8:00 AM to 8:00 PM.
Alagappa University,Academics,What is the attendance rule at Alagappa University?,The attendance rule at Alagappa University is Minimum 75% attendance mandatory.
Allahabad University,Fees,What is the tuition fee for Allahabad University?,The tuition fee for Allahabad University is 104469 per semester.
Allahabad University,Placements,What is the highest placement package at Allahabad University?,The highest placement package at Allahabad University is 22.4 Lakh Per Annum.
Allahabad University,Facilities,Does Allahabad University have a hostel and what is the fee?,"Yes, Allahabad University has a hostel for both boys and girls. The fee is 68031 and the mess fee is 32342."
Allahabad University,Facilities,What are the library timings for Allahabad University?,The library timings for Allahabad University are 8:00 AM to 8:00 PM.
Allahabad University,Academics,What is the attendance rule at Allahabad University?,The attendance rule at Allahabad University is Minimum 75% attendance mandatory.
Open International University for Alternative Medicines,Fees,What is the tuition fee for Open International University for Alternative Medicines?,The tuition fee for Open International University for Alternative Medicines is 55828 per semester.
Open International University for Alternative Medicines,Placements,What is the highest placement package at Open International University for Alternative Medicines?,The highest placement package at Open International University for Alternative Medicines is 24.3 Lakh Per Annum.
Open International University for Alternative Medicines,Facilities,Does Open International University for Alternative Medicines have a hostel and what is the fee?,"Yes, Open International University for Alternative Medicines has a hostel for both boys and girls. The fee is 82710 and the mess fee is 41982."
Open International University for Alternative Medicines,Facilities,What are the library timings for Open International University for Alternative Medicines?,The library timings for Open International University for Alternative Medicines are 8:00 AM to 8:00 PM.
Open International University for Alternative Medicines,Academics,What is the attendance rule at Open International University for Alternative Medicines?,The attendance rule at Open International University for Alternative Medicines is Minimum 75% attendance mandatory.
Indian Board of Alternative Medicine,Fees,What is the tuition fee for Indian Board of Alternative Medicine?,The tuition fee for Indian Board of Alternative Medicine is 105830 per semester.
Indian Board of Alternative Medicine,Placements,What is the highest placement package at Indian Board of Alternative Medicine?,The highest placement package at Indian Board of Alternative Medicine is 33.1 Lakh Per Annum.
Indian Board of Alternative Medicine,Facilities,Does Indian Board of Alternative Medicine have a hostel and what is the fee?,"Yes, Indian Board of Alternative Medicine has a hostel for both boys and girls. The fee is 71504 and the mess fee is 40237."
Indian Board of Alternative Medicine,Facilities,What are the library timings for Indian Board of Alternative Medicine?,The library timings for Indian Board of Alternative Medicine are 8:00 AM to 8:00 PM.
Indian Board of Alternative Medicine,Academics,What is the attendance rule at Indian Board of Alternative Medicine?,The attendance rule at Indian Board of Alternative Medicine is Minimum 75% attendance mandatory.
Amity University,Fees,What is the tuition fee for Amity University?,The tuition fee for Amity University is 88118 per semester.
Amity University,Placements,What is the highest placement package at Amity University?,The highest placement package at Amity University is 31.7 Lakh Per Annum.
Amity University,Facilities,Does Amity University have a hostel and what is the fee?,"Yes, Amity University has a hostel for both boys and girls. The fee is 53609 and the mess fee is 43547."
Amity University,Facilities,What are the library timings for Amity University?,The library timings for Amity University are 8:00 AM to 8:00 PM.
Amity University,Academics,What is the attendance rule at Amity University?,The attendance rule at Amity University is Minimum 75% attendance mandatory.
Amrita Vishwa Vidyapeetham,Fees,What is the tuition fee for Amrita Vishwa Vidyapeetham?,The tuition fee for Amrita Vishwa Vidyapeetham is 113457 per semester.
Amrita Vishwa Vidyapeetham,Placements,What is the highest placement package at Amrita Vishwa Vidyapeetham?,The highest placement package at Amrita Vishwa Vidyapeetham is 44.1 Lakh Per Annum.
Amrita Vishwa Vidyapeetham,Facilities,Does Amrita Vishwa Vidyapeetham have a hostel and what is the fee?,"Yes, Amrita Vishwa Vidyapeetham has a hostel for both boys and girls. The fee is 79270 and the mess fee is 40936."
Amrita Vishwa Vidyapeetham,Facilities,What are the library timings for Amrita Vishwa Vidyapeetham?,The library timings for Amrita Vishwa Vidyapeetham are 8:00 AM to 8:00 PM.
Amrita Vishwa Vidyapeetham,Academics,What is the attendance rule at Amrita Vishwa Vidyapeetham?,The attendance rule at Amrita Vishwa Vidyapeetham is Minimum 75% attendance mandatory.
Amravati University,Fees,What is the tuition fee for Amravati University?,The tuition fee for Amravati University is 112799 per semester.
Amravati University,Placements,What is the highest placement package at Amravati University?,The highest placement package at Amravati University is 31.2 Lakh Per Annum.
Amravati University,Facilities,Does Amravati University have a hostel and what is the fee?,"Yes, Amravati University has a hostel for both boys and girls. The fee is 59695 and the mess fee is 39281."
Amravati University,Facilities,What are the library timings for Amravati University?,The library timings for Amravati University are 8:00 AM to 8:00 PM.
Amravati University,Academics,What is the attendance rule at Amravati University?,The attendance rule at Amravati University is Minimum 75% attendance mandatory.
Aligarh Muslim University,Fees,What is the tuition fee for Aligarh Muslim University?,The tuition fee for Aligarh Muslim University is 65983 per semester.
Aligarh Muslim University,Placements,What is the highest placement package at Aligarh Muslim University?,The highest placement package at Aligarh Muslim University is 30.7 Lakh Per Annum.
Aligarh Muslim University,Facilities,Does Aligarh Muslim University have a hostel and what is the fee?,"Yes, Aligarh Muslim University has a hostel for both boys and girls. The fee is 63255 and the mess fee is 38048."
Aligarh Muslim University,Facilities,What are the library timings for Aligarh Muslim University?,The library timings for Aligarh Muslim University are 8:00 AM to 8:00 PM.
Aligarh Muslim University,Academics,What is the attendance rule at Aligarh Muslim University?,The attendance rule at Aligarh Muslim University is Minimum 75% attendance mandatory.
Andhra University,Fees,What is the tuition fee for Andhra University?,The tuition fee for Andhra University is 94084 per semester.
Andhra University,Placements,What is the highest placement package at Andhra University?,The highest placement package at Andhra University is 24.3 Lakh Per Annum.
Andhra University,Facilities,Does Andhra University have a hostel and what is the fee?,"Yes, Andhra University has a hostel for both boys and girls. The fee is 60447 and the mess fee is 42450."
Andhra University,Facilities,What are the library timings for Andhra University?,The library timings for Andhra University are 8:00 AM to 8:00 PM.
Andhra University,Academics,What is the attendance rule at Andhra University?,The attendance rule at Andhra University is Minimum 75% attendance mandatory.
Acharya Ranga Agricultural University,Fees,What is the tuition fee for Acharya Ranga Agricultural University?,The tuition fee for Acharya Ranga Agricultural University is 100292 per semester.
Acharya Ranga Agricultural University,Placements,What is the highest placement package at Acharya Ranga Agricultural University?,The highest placement package at Acharya Ranga Agricultural University is 38.4 Lakh Per Annum.
Acharya Ranga Agricultural University,Facilities,Does Acharya Ranga Agricultural University have a hostel and what is the fee?,"Yes, Acharya Ranga Agricultural University has a hostel for both boys and girls. The fee is 75863 and the mess fee is 43233."
Acharya Ranga Agricultural University,Facilities,What are the library timings for Acharya Ranga Agricultural University?,The library timings for Acharya Ranga Agricultural University are 8:00 AM to 8:00 PM.
Acharya Ranga Agricultural University,Academics,What is the attendance rule at Acharya Ranga Agricultural University?,The attendance rule at Acharya Ranga Agricultural University is Minimum 75% attendance mandatory.
Annamalai University,Fees,What is the tuition fee for Annamalai University?,The tuition fee for Annamalai University is 82617 per semester.
Annamalai University,Placements,What is the highest placement package at Annamalai University?,The highest placement package at Annamalai University is 43.1 Lakh Per Annum.
Annamalai University,Facilities,Does Annamalai University have a hostel and what is the fee?,"Yes, Annamalai University has a hostel for both boys and girls. The fee is 62014 and the mess fee is 32561."
Annamalai University,Facilities,What are the library timings for Annamalai University?,The library timings for Annamalai University are 8:00 AM to 8:00 PM.
Annamalai University,Academics,What is the attendance rule at Annamalai University?,The attendance rule at Annamalai University is Minimum 75% attendance mandatory.
"Anna University of Technology, Tirunelveli",Fees,"What is the tuition fee for Anna University of Technology, Tirunelveli?","The tuition fee for Anna University of Technology, Tirunelveli is 49895 per semester."
"Anna University of Technology, Tirunelveli",Placements,"What is the highest placement package at Anna University of Technology, Tirunelveli?","The highest placement package at Anna University of Technology, Tirunelveli is 40.4 Lakh Per Annum."
"Anna University of Technology, Tirunelveli",Facilities,"Does Anna University of Technology, Tirunelveli have a hostel and what is the fee?","Yes, Anna University of Technology, Tirunelveli has a hostel for both boys and girls. The fee is 84286 and the mess fee is 40381."
"Anna University of Technology, Tirunelveli",Facilities,"What are the library timings for Anna University of Technology, Tirunelveli?","The library timings for Anna University of Technology, Tirunelveli are 8:00 AM to 8:00 PM."
"Anna University of Technology, Tirunelveli",Academics,"What is the attendance rule at Anna University of Technology, Tirunelveli?","The attendance rule at Anna University of Technology, Tirunelveli is Minimum 75% attendance mandatory."
Anna University,Fees,What is the tuition fee for Anna University?,The tuition fee for Anna University is 63910 per semester.
Anna University,Placements,What is the highest placement package at Anna University?,The highest placement package at Anna University is 16.2 Lakh Per Annum.
Anna University,Facilities,Does Anna University have a hostel and what is the fee?,"Yes, Anna University has a hostel for both boys and girls. The fee is 58031 and the mess fee is 43174."
Anna University,Facilities,What are the library timings for Anna University?,The library timings for Anna University are 8:00 AM to 8:00 PM.
Anna University,Academics,What is the attendance rule at Anna University?,The attendance rule at Anna University is Minimum 75% attendance mandatory.
Awadhesh Pratap Singh University,Fees,What is the tuition fee for Awadhesh Pratap Singh University?,The tuition fee for Awadhesh Pratap Singh University is 145388 per semester.
Awadhesh Pratap Singh University,Placements,What is the highest placement package at Awadhesh Pratap Singh University?,The highest placement package at Awadhesh Pratap Singh University is 26.8 Lakh Per Annum.
Awadhesh Pratap Singh University,Facilities,Does Awadhesh Pratap Singh University have a hostel and what is the fee?,"Yes, Awadhesh Pratap Singh University has a hostel for both boys and girls. The fee is 78074 and the mess fee is 26772."
Awadhesh Pratap Singh University,Facilities,What are the library timings for Awadhesh Pratap Singh University?,The library timings for Awadhesh Pratap Singh University are 8:00 AM to 8:00 PM.
Awadhesh Pratap Singh University,Academics,What is the attendance rule at Awadhesh Pratap Singh University?,The attendance rule at Awadhesh Pratap Singh University is Minimum 75% attendance mandatory.
ARYA Institute of Engineering & Technology,Fees,What is the tuition fee for ARYA Institute of Engineering & Technology?,The tuition fee for ARYA Institute of Engineering & Technology is 101983 per semester.
ARYA Institute of Engineering & Technology,Placements,What is the highest placement package at ARYA Institute of Engineering & Technology?,The highest placement package at ARYA Institute of Engineering & Technology is 18.6 Lakh Per Annum.
ARYA Institute of Engineering & Technology,Facilities,Does ARYA Institute of Engineering & Technology have a hostel and what is the fee?,"Yes, ARYA Institute of Engineering & Technology has a hostel for both boys and girls. The fee is 52392 and the mess fee is 34163."
ARYA Institute of Engineering & Technology,Facilities,What are the library timings for ARYA Institute of Engineering & Technology?,The library timings for ARYA Institute of Engineering & Technology are 8:00 AM to 8:00 PM.
ARYA Institute of Engineering & Technology,Academics,What is the attendance rule at ARYA Institute of Engineering & Technology?,The attendance rule at ARYA Institute of Engineering & Technology is Minimum 75% attendance mandatory.
Assam University,Fees,What is the tuition fee for Assam University?,The tuition fee for Assam University is 69985 per semester.
Assam University,Placements,What is the highest placement package at Assam University?,The highest placement package at Assam University is 28.2 Lakh Per Annum.
Assam University,Facilities,Does Assam University have a hostel and what is the fee?,"Yes, Assam University has a hostel for both boys and girls. The fee is 75397 and the mess fee is 38154."
Assam University,Facilities,What are the library timings for Assam University?,The library timings for Assam University are 8:00 AM to 8:00 PM.
Assam University,Academics,What is the attendance rule at Assam University?,The attendance rule at Assam University is Minimum 75% attendance mandatory.
Gujarat Ayurved University,Fees,What is the tuition fee for Gujarat Ayurved University?,The tuition fee for Gujarat Ayurved University is 45019 per semester.
Gujarat Ayurved University,Placements,What is the highest placement package at Gujarat Ayurved University?,The highest placement package at Gujarat Ayurved University is 38.4 Lakh Per Annum.
Gujarat Ayurved University,Facilities,Does Gujarat Ayurved University have a hostel and what is the fee?,"Yes, Gujarat Ayurved University has a hostel for both boys and girls. The fee is 54294 and the mess fee is 36571."
Gujarat Ayurved University,Facilities,What are the library timings for Gujarat Ayurved University?,The library timings for Gujarat Ayurved University are 8:00 AM to 8:00 PM.
Gujarat Ayurved University,Academics,What is the attendance rule at Gujarat Ayurved University?,The attendance rule at Gujarat Ayurved University is Minimum 75% attendance mandatory.
Dr. Babasaheb Ambedkar Marathwada Universtiy,Fees,What is the tuition fee for Dr. Babasaheb Ambedkar Marathwada Universtiy?,The tuition fee for Dr. Babasaheb Ambedkar Marathwada Universtiy is 132626 per semester.
Dr. Babasaheb Ambedkar Marathwada Universtiy,Placements,What is the highest placement package at Dr. Babasaheb Ambedkar Marathwada Universtiy?,The highest placement package at Dr. Babasaheb Ambedkar Marathwada Universtiy is 36.0 Lakh Per Annum.
Dr. Babasaheb Ambedkar Marathwada Universtiy,Facilities,Does Dr. Babasaheb Ambedkar Marathwada Universtiy have a hostel and what is the fee?,"Yes, Dr. Babasaheb Ambedkar Marathwada Universtiy has a hostel for both boys and girls. The fee is 57189 and the mess fee is 38233."
Dr. Babasaheb Ambedkar Marathwada Universtiy,Facilities,What are the library timings for Dr. Babasaheb Ambedkar Marathwada Universtiy?,The library timings for Dr. Babasaheb Ambedkar Marathwada Universtiy are 8:00 AM to 8:00 PM.
Dr. Babasaheb Ambedkar Marathwada Universtiy,Academics,What is the attendance rule at Dr. Babasaheb Ambedkar Marathwada Universtiy?,The attendance rule at Dr. Babasaheb Ambedkar Marathwada Universtiy is Minimum 75% attendance mandatory.
Berhampur University,Fees,What is the tuition fee for Berhampur University?,The tuition fee for Berhampur University is 133807 per semester.
Berhampur University,Placements,What is the highest placement package at Berhampur University?,The highest placement package at Berhampur University is 34.6 Lakh Per Annum.
Berhampur University,Facilities,Does Berhampur University have a hostel and what is the fee?,"Yes, Berhampur University has a hostel for both boys and girls. The fee is 70357 and the mess fee is 27250."
Berhampur University,Facilities,What are the library timings for Berhampur University?,The library timings for Berhampur University are 8:00 AM to 8:00 PM.
Berhampur University,Academics,What is the attendance rule at Berhampur University?,The attendance rule at Berhampur University is Minimum 75% attendance mandatory.
Banasthali University,Fees,What is the tuition fee for Banasthali University?,The tuition fee for Banasthali University is 47430 per semester.
Banasthali University,Placements,What is the highest placement package at Banasthali University?,The highest placement package at Banasthali University is 24.2 Lakh Per Annum.
Banasthali University,Facilities,Does Banasthali University have a hostel and what is the fee?,"Yes, Banasthali University has a hostel for both boys and girls. The fee is 54775 and the mess fee is 25569."
Banasthali University,Facilities,What are the library timings for Banasthali University?,The library timings for Banasthali University are 8:00 AM to 8:00 PM.
Banasthali University,Academics,What is the attendance rule at Banasthali University?,The attendance rule at Banasthali University is Minimum 75% attendance mandatory.
Bankura University,Fees,What is the tuition fee for Bankura University?,The tuition fee for Bankura University is 123120 per semester.
Bankura University,Placements,What is the highest placement package at Bankura University?,The highest placement package at Bankura University is 15.9 Lakh Per Annum.
